ID,k_voxels,k_volume
301,33,264
302,0,0
303,8,64
304,0,0
305,8,64
306,116,928
307,0,0
308,100,800
309,0,0
310,63,504
311,0,0
312,16,128
313,74,592
314,60,480
315,0,0
316,71,568
317,59,472
318,1,8
319,3,24
320,5,40
321,0,0
322,0,0
323,0,0
324,0,0
325,40,320
326,65,520
327,0,0
328,0,0
329,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,9,72
406,5,40
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,11,88
414,0,0
415,0,0
416,0,0
417,0,0
418,27,216
419,0,0
420,0,0
